iter	Passed	Remaining
146	378	3485
147	381	3483
148	383	3481
149	386	3478
150	388	3474
151	391	3472
152	394	3471
153	396	3467
154	399	3464
155	401	3461
156	404	3456
157	406	3452
158	408	3448
159	411	3447
160	414	3443
161	416	3438
162	418	3432
163	421	3433
164	423	3430
165	426	3431
166	429	3429
167	432	3427
168	434	3422
169	437	3419
170	439	3418
171	442	3417
172	445	3414
173	447	3409
174	449	3405
175	452	3402
176	454	3398
177	457	3396
178	460	3396
179	462	3393
180	465	3389
181	467	3385
182	469	3381
183	472	3376
184	474	3375
185	477	3370
186	479	3365
187	481	3360
188	483	3357
189	486	3352
190	488	3350
191	491	3349
192	494	3348
193	497	3345
194	499	3343
195	501	3338
196	503	3333
197	506	3331
198	509	3329
199	511	3327
200	514	3322
201	516	3319
202	519	3317
203	521	3315
204	524	3314
205	527	3311
206	529	3308
207	532	3304
208	534	3299
209	536	3296
210	539	3296
211	542	3295
212	544	3292
213	547	3288
214	549	3284
215	551	3280
216	554	3279
217	557	3277
218	559	3273
219	562	3269
220	564	3266
221	566	3263
222	569	3260
223	572	3259
224	574	3255
225	576	3251
226	578	3246
227	581	3243
228	583	3238
229	586	3237
230	588	3235
231	591	3231
232	593	3228
233	596	3227
234	599	3225
235	601	3223
236	604	3224
237	607	3223
238	610	3222
239	613	3219
240	616	3218
241	618	3215
242	621	3213
243	623	3211
244	626	3208
245	629	3206
246	631	3203
247	635	3207
248	638	3205
249	640	3203
250	643	3201
251	645	3199
252	648	3195
253	651	3193
254	653	3191
255	656	3190
256	659	3188
257	662	3187
258	664	3186
259	667	3183
260	670	3181
261	672	3177
262	674	3174
263	677	3171
264	680	3169
265	683	3170
266	685	3167
267	688	3164
268	690	3161
269	693	3159
270	696	3157
271	698	3154
272	701	3152
273	704	3150
274	706	3147
275	709	3145
276	711	3141
277	714	3139
278	717	3140
279	720	3138
280	722	3136
281	725	3132
282	727	3129
283	730	3128
284	733	3127
285	735	3123
286	738	3120
287	740	3117
288	743	3115
289	746	3112
290	749	3112
291	751	3109
292	754	3107
293	756	3103
294	759	3100
295	761	3097
296	764	3096
297	767	3097
298	770	3095
299	773	3092
300	775	3089
301	778	3086
302	780	3083
303	783	3080
304	785	3077
305	787	3073
306	790	3071
307	792	3068
308	795	3067
309	798	3065
310	800	3061
311	803	3058
312	805	3056
313	808	3053
314	811	3051
315	814	3050
316	816	3047
317	819	3044
318	821	3041
319	824	3038
320	827	3037
321	829	3035
322	832	3032
323	834	3029
324	837	3026
325	839	3023
326	842	3020
327	845	3020
328	848	3018
329	850	3015
330	852	3012
331	855	3009
332	857	3006
333	860	3003
334	863	3002
335	865	2999
336	868	2996
337	870	2994
338	873	2991
339	876	2990
340	878	2987
341	881	2985
342	884	2983
343	886	2980
344	889	2977
345	892	2976
346	895	2974
347	897	2970
348	899	2968
349	902	2965
350	904	2962
351	907	2960
352	910	2959
353	913	2957
354	916	2954
355	918	2951
356	920	2948
357	923	2946
358	926	2943
359	928	2940
360	930	2937
361	933	2934
362	935	2931
363	938	2929
364	942	2929
365	944	2927
366	947	2924
367	949	2922
368	952	2920
369	955	2917
370	957	2915
371	960	2913
372	963	2910
373	965	2906
374	968	2904
375	970	2902
376	973	2900
377	976	2897
378	978	2894
379	981	2892
380	983	2889
381	986	2886
382	989	2885
383	991	2882
384	994	2880
385	997	2877
386	999	2874
387	1002	2872
388	1004	2870
389	1007	2867
390	1009	2864
391	1012	2861
392	1014	2858
393	1017	2855
394	1020	2853
395	1022	2851
396	1025	2848
397	1027	2846
398	1030	2842
399	1032	2840
400	1035	2838
401	1038	2835
402	1040	2833
403	1043	2830
404	1045	2827
405	1048	2824
406	1050	2821
407	1053	2819
408	1055	2816
409	1058	2813
410	1060	2811
411	1068	2822
412	1078	2838
413	1083	2841
414	1088	2846
415	1093	2848
416	1096	2848
417	1100	2847
418	1102	2845
419	1105	2843
420	1108	2841
421	1115	2849
422	1119	2849
423	1122	2847
424	1125	2845
425	1127	2842
426	1130	2840
427	1133	2839
428	1136	2837
429	1139	2834
430	1141	2831
431	1144	2830
432	1147	2827
433	1150	2825
434	1153	2823
435	1155	2820
436	1158	2817
437	1166	2828
438	1170	2829
439	1176	2833
440	1183	2841
441	1186	2840
442	1189	2838
443	1192	2835
444	1194	2833
445	1198	2831
